STATION_NU,PROV_TERR_,LATITUDE,LONGITUDE,node_id,reach_id
08NC001,BC,52.152221679687500,-118.404441833495000,78269200130143,78269200133
08NB011,BC,52.114719390869000,-118.424438476562000,78269300010123,78269300013
08NB017,BC,51.890670776367200,-117.912078857422000,78269300050533,78269300053
08NB006,BC,51.771389007568400,-117.686668395995000,78269300070493,78269300073
08NB005,BC,51.483299255371100,-117.180389404297000,78269500070721,78269500071
08NA006,BC,51.301181793212800,-116.972068786620000,78269600010081,78269600011
08NA015,BC,51.397499084472600,-116.476936340332000,78269600060711,78269600061
08NA007,BC,51.418331146240100,-116.440002441405000,78269600060881,78269600061
08NA008,BC,51.432781219482400,-116.398612976074000,78269600070121,78269600071
08NA053,BC,51.436939239502000,-116.374443054199000,78269600070211,78269600071
08NA002,BC,51.243560791015500,-116.912933349609000,78269700010551,78269700011
08NA061,BC,51.115558624267500,-116.714721679687000,78269700050151,78269700051
08NA025,BC,51.094718933105400,-116.680282592772000,78269700050341,78269700051
08NA038,BC,51.068889617919900,-116.634170532227000,78269700050551,78269700051
08NA047,BC,50.934719085693400,-116.384437561034000,78269700070551,78269700071
08NA052,BC,50.732780456542900,-116.194442749022000,78269900020701,78269900021
08MH053,BC,49.124210357666000,-123.076957702637000,78310900030105,78310900035
08MH151,BC,49.148059844970700,-123.045829772949000,78310900030295,78310900035
08MH126,BC,49.217800140380900,-122.824661254882000,78321000020403,78321000023
08MH044,BC,49.172298431396400,-122.475440979004000,78321000050243,78321000053
08MH099,BC,49.174999237060400,-122.455276489257000,78321000050313,78321000053
08MH024,BC,49.127738952636600,-122.302940368652000,78321000060483,78321000063
08MH071,BC,49.146110534667900,-122.246391296387000,78321000070203,78321000073
08MH075,BC,49.144439697265500,-122.233329772949000,78321000070243,78321000073
08MF038,BC,49.143978118896400,-122.070846557617000,78321000080121,78321000081
08MF064,BC,49.198890686035100,-121.951393127440000,78321000080671,78321000081
08MF073,BC,49.218059539794900,-121.947128295897000,78321000080711,78321000081
08MF075,BC,49.226440429687500,-121.906082153320000,78321000090051,78321000091
08MF035,BC,49.203689575195200,-121.775833129882000,78321000100071,78321000101
08MF074,BC,49.264999389648400,-121.681282043457000,78321000110041,78321000111
08MF034,BC,49.313060760497900,-121.625556945800000,78321000110491,78321000111
08MF076,BC,49.360641479492200,-121.569190979004000,78321000120301,78321000121
08MF005,BC,49.385959625244000,-121.454238891602000,78321000120831,78321000121
08MF032,BC,49.431110382080000,-121.436393737792000,78321000130201,78321000131
08MF030,BC,49.509170532226500,-121.420562744140000,78321000130661,78321000131
08MF031,BC,49.564170837402300,-121.424720764160000,78321000140241,78321000141
08MF028,BC,49.785278320312400,-121.449722290039000,78321000160021,78321000161
08MF001,BC,49.840000152587800,-121.428329467772000,78321000160381,78321000161
08MF039,BC,49.872219085693400,-121.438888549805000,78321000160611,78321000161
08MG014,BC,49.234649658203000,-121.959312438965000,78321000200013,78321000203
08MG022,BC,49.285011291503800,-121.904197692870000,78321000200453,78321000203
08MG013,BC,49.300418853759800,-121.829643249512000,78321000210291,78321000211
08MG027,BC,50.091598510742200,-122.536560058594000,78321000350233,78321000353
08MG020,BC,50.240360260009800,-122.481132507324000,78321000380053,78321000383
08MG005,BC,50.336021423339800,-122.800247192382000,78321000400071,78321000401
08MH035,BC,49.244808197021400,-122.734069824219000,78321000450213,78321000453
08LF063,BC,50.246940612792900,-121.484169006347000,78322100020241,78322100021
08LF051,BC,50.354629516601500,-121.393646240234000,78322100040261,78322100041
08LF022,BC,50.420829772949100,-121.341667175292000,78322100050311,78322100051
08LF050,BC,50.454170227050800,-121.311668395995000,78322300010041,78322300011
08LF043,BC,50.764438629150300,-121.032218933104000,78322500030041,78322500031
08LF033,BC,50.752079010009800,-120.873611450194000,78322500030751,78322500031
08LF046,BC,50.752780914306500,-120.847221374512000,78322500040083,78322500043
08LF085,BC,50.707218170166000,-120.534172058104000,78322500060353,78322500063
08LF023,BC,50.687519073486200,-120.364120483397000,78322500070141,78322500071
08LB004,BC,50.861110687255900,-120.258331298827000,78322600020461,78322600021
08LB015,BC,50.891670227050800,-120.254173278809000,78322600020641,78322600021
08LB064,BC,51.040931701660100,-120.240463256835000,78322600030601,78322600031
08LB019,BC,51.062500000000000,-120.238891601562000,78322600030751,78322600031
08LB062,BC,51.090278625488300,-120.168060302734000,78322600040071,78322600041
08LB072,BC,51.134998321533200,-120.122779846190000,78322600040421,78322600041
08LB022,BC,51.186111450195200,-120.151390075684000,78322600040791,78322600041
08LB078,BC,51.427589416503800,-120.202041625977000,78322600060461,78322600061
08LB070,BC,51.632499694824100,-120.026390075684000,78322600080201,78322600081
08LB047,BC,51.601860046386600,-119.914352416992000,78322600090451,78322600091
08LB041,BC,51.588890075683600,-119.698608398437000,78322600110141,78322600111
08LB040,BC,51.597221374511600,-119.666671752930000,78322600110251,78322600111
08LB039,BC,51.676391601562400,-119.604171752930000,78322600110961,78322600111
08LB079,BC,51.782218933105400,-119.326393127440000,78322600140381,78322600141
08LA001,BC,51.655719757080000,-120.066047668457000,78322600180171,78322600181
08LA004,BC,51.979438781738300,-120.103607177734000,78322600350121,78322600351
08LE003,BC,50.652221679687500,-120.083328247070000,78322700020291,78322700021
08LE069,BC,50.653331756591700,-119.959442138672000,78322700030171,78322700031
08LE015,BC,50.667221069335900,-119.839439392090000,78322700030671,78322700031
08LE031,BC,50.763031005859400,-119.742828369140000,78322700040331,78322700041
08LE057,BC,50.828330993652300,-119.674438476562000,78322700050123,78322700053
08LD006,BC,50.921669006347600,-119.644721984862000,78322800010451,78322800011
08LD001,BC,50.937591552734400,-119.656341552734000,78322800010551,78322800011
08LD003,BC,50.953578948974600,-119.675392150879000,78322800030013,78322800033
08LE047,BC,50.880561828613300,-119.464721679687000,78322900010313,78322900013
08LC037,BC,50.776390075683600,-119.004440307617000,78322900070283,78322900073
08LC021,BC,50.715278625488300,-119.041671752930000,78322900080041,78322900081
08LC002,BC,50.543659210205000,-119.012847900390000,78322900100471,78322900101
08LC050,BC,50.533611297607400,-118.969169616699000,78322900110171,78322900111
08LC032,BC,50.611110687255900,-118.775001525879000,78322900120751,78322900121
08LC019,BC,50.602779388427600,-118.738327026367000,78322900130033,78322900133
08LE071,BC,51.238891601562400,-118.927780151367000,78322900240493,78322900243
08MF004,BC,50.248058319091700,-121.589172363280000,78323000010071,78323000011
08MF011,BC,50.284168243408200,-121.633331298827000,78323000010361,78323000011
08MF040,BC,50.613670349121100,-121.853439331055000,78323000050121,78323000051
08MF027,BC,50.661109924316300,-121.926391601562000,78323000050531,78323000051
08MF017,BC,50.677780151367200,-121.922218322754000,78323000060081,78323000061
08ME019,BC,50.709720611572300,-121.912498474120000,78323000060281,78323000061
08MD013,BC,51.183670043945200,-122.132080078124000,78323000120201,78323000121
08MD018,BC,51.233329772949100,-122.170562744140000,78323000120581,78323000121
08MD012,BC,51.519439697265500,-122.286109924315000,78323000140461,78323000141
08MB008,BC,51.827781677246100,-122.572219848632000,78324000030151,78324000031
08MB005,BC,51.847938537597600,-122.654777526854000,78324000040121,78324000041
08MB012,BC,51.920608520507700,-123.080833435059000,78324000060691,78324000061
08MA001,BC,52.069751739502000,-123.539497375487000,78324000100091,78324000101
08MA007,BC,51.921669006347600,-123.826110839844000,78324000130171,78324000131
08MA002,BC,51.624858856201200,-124.143356323242000,78324000170103,78324000173
08MA003,BC,51.379001617431500,-123.631217956542000,78324000320491,78324000321
08MC011,BC,52.505561828613300,-122.445556640624000,78325000090341,78325000091
08MC018,BC,52.530281066894500,-122.444328308104000,78325000090461,78325000091
08KE005,BC,52.606941223144500,-122.465278625487000,78325000100521,78325000101
08KE003,BC,52.823890686035100,-122.468330383300000,78325000120211,78325000121
08KE016,BC,52.973888397216700,-122.509437561034000,78325000130561,78325000131
08KE002,BC,52.974441528320200,-122.496940612792000,78325000140021,78325000141
08KH026,BC,52.847778320312400,-122.222503662109000,78325000220331,78325000221
08KH006,BC,52.843059539794900,-122.225280761719000,78325000220341,78325000221
08KH003,BC,52.666671752929700,-121.670829772949000,78325000260361,78325000261
08KH002,BC,52.658058166503800,-121.474166870117000,78325000270201,78325000271
08KH013,BC,52.729438781738300,-121.434722900390000,78325000280033,78325000283
08KH017,BC,52.746940612792900,-121.424720764160000,78325000280143,78325000283
08KH004,BC,52.977779388427600,-121.176391601562000,78325000330341,78325000331
08KH005,BC,52.992500305175800,-121.122779846190000,78325000340161,78325000341
08KE018,BC,53.900779724121100,-122.734939575194000,78327000050871,78327000051
08JC002,BC,53.960441589355400,-123.234863281250000,78328300040041,78328300041
08JE001,BC,54.416858673095700,-124.270622253417000,78328400070013,78328400073
08JC001,BC,54.026729583740100,-124.008651733397000,78328500050471,78328500051
08JC006,BC,54.029998779296900,-124.015281677245000,78328500050491,78328500051
08JA001,BC,54.055000305175800,-124.560829162597000,78328700010311,78328700011
08JA017,BC,53.685501098632700,-124.839279174805000,78328700070621,78328700071
08JA009,BC,53.643329620361200,-124.974998474120000,78328700100053,78328700103
08JA018,BC,53.707778930664000,-125.611061096190000,78328700140383,78328700143
08JA023,BC,53.772380828857400,-125.997238159180000,78328700280016,78328700286
08KE001,BC,53.912498474121100,-122.711669921875000,78329100010011,78329100011
08KB001,BC,54.003669738769500,-122.624748229980000,78329100020581,78329100021
08KB003,BC,54.231170654296900,-121.668746948242000,78329600040781,78329600041
08KB005,BC,54.268058776855400,-121.495002746582000,78329600060081,78329600061
08KA004,BC,54.078670501708900,-121.850357055664000,78329700020241,78329700021
08KA005,BC,53.301719665527300,-120.140922546387000,78329900220011,78329900221
08MH032,BC,49.205360412597600,-123.088638305664000,78331000020175,78331000025
08GA053,BC,49.722221374511600,-123.165000915527000,78331000040091,78331000041
08GA048,BC,49.731109619140500,-123.143608093262000,78331000040201,78331000041
08GA022,BC,49.795021057128800,-123.203163146972000,78331000050151,78331000051
08GA071,BC,50.114028930664000,-123.428398132324000,78331000110281,78331000111
08FB008,BC,52.391670227050800,-126.550003051757000,78336000030291,78336000031
08FB011,BC,52.439220428466700,-126.352439880370000,78336000040601,78336000041
08FB002,BC,52.442218780517500,-126.332221984862000,78336000050071,78336000051
08FB007,BC,52.422218322753800,-126.158058166504000,78336000060231,78336000061
08EG006,BC,54.581939697265500,-128.660278320311000,78340200020071,78340200021
08EG019,BC,54.679298400878800,-128.743957519530000,78340200030551,78340200031
08EF003,BC,54.536109924316300,-128.454162597655000,78340400010151,78340400011
08EF005,BC,54.493629455566300,-128.324661254883000,78340400020121,78340400021
08EF001,BC,54.637260437011600,-128.408264160155000,78340500020291,78340500021
08EF004,BC,55.090278625488300,-127.811111450194000,78340500090181,78340500091
08EE007,BC,55.254440307617200,-127.651107788085000,78340600010101,78340600011
08EE001,BC,55.258888244628800,-127.602783203124000,78340600010311,78340600011
08EE006,BC,55.010280609130900,-127.332778930664000,78340600040621,78340600041
08EE005,BC,54.769718170166000,-127.133331298827000,78340600090031,78340600091
08EE027,BC,54.684719085693400,-127.023612976074000,78340600100431,78340600101
08EE002,BC,54.648609161377000,-126.973609924315000,78340600110171,78340600111
08EE004,BC,54.618610382080000,-126.899971008300000,78340600120031,78340600121
08ED003,BC,54.382221221923800,-126.739997863770000,78340600150351,78340600151
08ED002,BC,54.116828918457000,-127.426582336425000,78340600230881,78340600231
08EB001,BC,55.256938934326200,-127.675559997559000,78340700010101,78340700011
08EB003,BC,55.301059722900300,-127.672561645507000,78340700010461,78340700011
08EB005,BC,55.717079162597600,-127.686721801757000,78340700050941,78340700051
08DB001,BC,55.262248992919900,-129.085037231445000,78360000040441,78360000041
08DB008,BC,55.404170989990100,-129.008331298828000,78360000060151,78360000061
08DA010,BC,56.279170989990100,-129.144439697265000,78360000140831,78360000141
08DA011,BC,56.294441223144500,-129.241668701171000,78360000150321,78360000151
08DA003,BC,56.041671752929700,-129.197219848633000,78360000270173,78360000273
08CF003,AK,56.708061218261600,-132.130279541015000,78380100030111,78380100031
08CG001,BC,56.734439849853500,-131.668991088866000,78380200010451,78380200011
08CG004,BC,56.698608398437500,-130.873062133789000,78380200050401,78380200051
08CG007,BC,56.741668701171900,-130.613891601561000,78380200060531,78380200061
08CG005,BC,57.040828704833900,-130.401382446289000,78380200110121,78380200111
08CF002,BC,56.830001831054700,-131.765823364258000,78380300010531,78380300011
08CF001,BC,57.486110687255900,-131.750000000000000,78380300100271,78380300101
08CE001,BC,57.900268554687500,-131.159713745116000,78380300160561,78380300161
08CE005,BC,58.013271331787100,-130.977569580078000,78380300170551,78380300171
08CE004,BC,57.695831298828000,-131.711105346680000,78380300190571,78380300191
08CB001,BC,58.043891906738300,-129.945831298828000,78380500040761,78380500041
08CC001,BC,57.900001525878800,-129.703887939453000,78380600010481,78380600011
08CA002,BC,57.733058929443400,-128.108337402344000,78380700110591,78380700111
08CA003,BC,57.981941223144500,-128.429443359375000,78380700120301,78380700121
08CA001,BC,57.670280456542900,-128.103332519530000,78380800010231,78380800011
08BB005,AK,58.538608551025300,-133.699996948241000,78390400080155,78390400085
08BB001,BC,58.638889312744000,-133.540283203125000,78390400100051,78390400101
08AB002,AK,59.395000457763700,-138.081939697265000,81110200100031,81110200101
08AB001,YT,60.118309020996100,-137.977752685546000,81110200230871,81110200231
09FD002,YT,67.458526611328000,-140.662002563476000,81260500110171,81260500111
09FD001,YT,67.563888549804700,-139.883331298828000,81260500150721,81260500151
09FD003,YT,67.568328857421900,-139.833831787109000,81260500150831,81260500151
09FC001,YT,67.639839172363200,-139.709243774414000,81260600020051,81260600021
09FB001,YT,67.440277099609400,-137.783615112305000,81260700090521,81260700091
09FA001,YT,66.430358886718800,-138.404891967773000,81260900150371,81260900151
09ED001,AK,64.789436340332000,-141.197784423828000,81270500210671,81270500211
09EC002,YT,64.397216796875000,-140.611114501953000,81270600010321,81270600011
09EB001,YT,64.070541381835800,-139.425430297851000,81270700070391,81270700071
09EA003,YT,64.042778015136700,-139.407775878905000,81270800010131,81270800011
09EA006,YT,64.062080383300700,-139.083755493164000,81270800020411,81270800021
09EB002,YT,63.311668395996100,-139.428604125976000,81270900080481,81270900081
09DD003,YT,63.282218933105400,-139.254440307616000,81280100010501,81280100011
09DD004,YT,63.610031127929700,-137.273742675780000,81280200010341,81280200011
09DD002,YT,63.382221221923800,-136.683059692383000,81280300040651,81280300041
09DC002,YT,63.590560913085900,-135.896667480469000,81280300080691,81280300081
09DC003,YT,63.488059997558600,-135.134994506835000,81280500050441,81280500051
09DB001,YT,64.014999389648300,-134.139175415039000,81280600220231,81280600221
09DA001,YT,63.333518981933600,-131.490905761719000,81280900050061,81280900051
09CB001,YT,61.988170623779200,-140.558670043945000,81292400090671,81292400091
09CA003,YT,62.082218170166000,-139.859725952148000,81292700070241,81292700071
09CA002,YT,61.426940917968800,-139.051696777344000,81292900080171,81292900081
09CD001,YT,63.082500457763700,-139.496932983398000,81293000020161,81293000021
09BC001,YT,62.829170227050800,-136.582504272460000,81294100050211,81294100051
09BB002,YT,62.893329620361200,-135.509994506835000,81294400030331,81294400031
09BC004,YT,62.220748901367200,-133.377807617188000,81294700080021,81294700081
09BC002,YT,61.986640930175800,-132.447586059570000,81294700120661,81294700121
09BA001,YT,61.988780975341700,-132.407165527344000,81294800010071,81294800011
09BB001,YT,62.925670623779200,-130.537963867188000,81294800250051,81294800251
09BA002,YT,62.030559539794900,-130.602783203125000,81294900140781,81294900141
09AH001,YT,62.094440460205000,-136.272216796875000,81295000110031,81295000111
09AG001,YT,61.872608184814500,-134.836303710938000,81296000130361,81296000131
09AG002,YT,61.143058776855400,-133.080566406250000,81296000320833,81296000323
09AB009,YT,61.434440612792900,-135.188323974609000,81298100030431,81298100031
09AC001,YT,60.851108551025300,-135.741104125976000,81298200040121,81298200041
09AC004,YT,60.612781524658200,-136.123886108398000,81298200080431,81298200081
09AB001,YT,60.744499206542900,-135.064025878905000,81298300020251,81298300021
09AA017,YT,60.161830902099600,-134.379333496094000,81298600010193,81298600013
09AA004,YT,60.163890838622900,-134.707504272460000,81298600020633,81298600023
09AF001,YT,61.489170074462800,-134.776382446289000,81299000010691,81299000011
09AE001,YT,60.484439849853500,-133.301940917969000,81299000140501,81299000141
09AE002,YT,60.158031463622900,-132.709579467773000,81299000200093,81299000203
09AD001,YT,60.343059539794900,-132.544723510741000,81299000220271,81299000221
09AE003,BC,59.930580139160100,-131.768386840820000,81299000340021,81299000341
10MD001,YT,69.326606750488200,-139.567443847655000,82100400030273,82100400033
10MC001,NT,68.219436645507700,-135.000000000000000,82100800050205,82100800055
10MC003,NT,68.203666687011700,-135.114807128905000,82100800060015,82100800065
10LC018,NT,69.233062744140500,-135.190826416015000,82100900480495,82100900485
10MC015,NT,68.883331298828000,-135.016662597655000,82100900490035,82100900495
10MC011,NT,69.018188476562500,-135.512329101561000,82100900600665,82100900605
10MC010,NT,69.083251953125000,-135.136276245116000,82100900670835,82100900675
10MC023,NT,68.635719299316400,-134.984436035155000,82100900810455,82100900815
10MC021,NT,68.601112365722600,-134.389434814453000,82100900870445,82100900875
10MC014,NT,68.298332214355400,-134.429168701171000,82211000030495,82211000035
10MC008,NT,68.292419433593800,-134.429748535155000,82211000030575,82211000035
10MC016,NT,68.253059387207000,-135.023895263671000,82211000090055,82211000095
10MC009,NT,68.798606872558500,-134.695831298828000,82211000410035,82211000415
10MC013,NT,69.050003051757700,-135.033325195311000,82211000460155,82211000465
10MC012,NT,68.874717712402300,-134.983337402344000,82211000510575,82211000515
10LC001,NT,68.650001525878900,-134.100006103515000,82211000570845,82211000575
10MC018,NT,68.441390991210800,-134.446670532226000,82211000650325,82211000655
10MC017,NT,68.276390075683500,-134.833053588866000,82211000680765,82211000685
10LC002,NT,68.374191284179700,-133.764831542969000,82211000900405,82211000905
10MC022,NT,67.635421752929700,-134.652252197265000,82212100060101,82212100061
10MC002,NT,67.258888244628900,-134.888809204101000,82212100090381,82212100091
10MB003,YT,65.970283508300700,-134.038253784180000,82212200010451,82212200011
10MB004,YT,64.748466491699200,-133.679992675780000,82212400160191,82212400161
10MA005,YT,65.321189880371000,-135.402725219726000,82212600060401,82212600061
10MA001,YT,65.892608642578000,-136.037887573241000,82212700030751,82212700031
10MA002,YT,65.362197875976600,-138.302124023438000,82212800150241,82212800151
10MA004,YT,65.638778686523300,-136.653137207030000,82212900030461,82212900031
10LC005,NT,67.883331298828000,-134.333328247070000,82213000010105,82213000015
10LC011,NT,67.661109924316400,-134.136108398438000,82213000070275,82213000075
10LC014,NT,67.456001281738200,-133.753280639648000,82213000090621,82213000091
10LC015,NT,67.793937683105400,-134.132522583008000,82213000240295,82213000245
10LA001,NT,67.449996948242200,-133.750000000000000,82214000010011,82214000011
